Continent,Countries_No_Spacing,"""1995","""1996","""1997","""1998","""1999","""2000","""2001","""2002","""2003","""2004","""2005","""2006","""2007","""2008","""2009","""2010"
ASIA(EX.NEAREAST),Afghanistan,13.697,14.1398,14.5642,15.0216,15.3068,15.7715,15.9133,15.9269,16.4278,16.8591,17.415,18.1199,19.1546,21.468,24.4483,26.5382
EASTERNEUROPE,Albania,5.3938,5.4168,4.9349,5.1733,6.4536,6.6196,6.5632,6.9347,7.2756,7.4434,7.1246,7.0147,7.1533,7.0834,6.7941,7.1048
NORTHERNAFRICA,Algeria,104.3708,103.9504,107.3332,110.292,115.5473,118.0619,115.3976,122.2284,126.7923,128.6003,134.3725,140.0352,148.4112,153.6724,163.7519,165.2449
SUB-SAHARANAFRICA,Angola,133.5884,135.0898,136.3119,137.1478,139.1457,140.0636,146.1246,152.3402,162.1119,169.3235,173.5881,182.745,193.2325,202.7166,212.6722,222.219
LATINAMER.&CARIB,Antigua&Barbuda,0.5056,0.5239,0.5568,0.5715,0.6044,0.619,0.6432,0.6856,0.7354,0.7779,0.8057,0.8488,0.8956,0.9387,1.0074,1.0505
LATINAMER.&CARIB,Argentina,272.5621,289.0862,292.2421,297.6214,302.0324,303.1818,294.8754,289.2867,302.5063,321.1681,328.3428,339.8176,348.1888,360.8917,356.0661,363.7932
C.W.OFIND.STATES,Armenia,6.1867,5.0828,5.7005,5.6945,5.1976,5.465,5.6333,5.197,5.6596,6.0162,6.8155,6.9361,7.7233,8.3085,7.2478,7.1247
OCEANIA,Australia,438.9746,454.2262,466.8262,491.6812,506.6118,517.6609,526.4256,530.1629,529.5281,540.5428,541.0278,546.5498,557.3741,560.673,568.5651,560.6356
WESTERNEUROPE,Austria,76.8094,80.2882,79.2814,79.4956,77.6415,77.6673,81.5971,82.9345,87.855,88.9483,89.7697,87.7557,85.4511,86.1118,79.3915,85.0568
C.W.OFIND.STATES,Azerbaijan,47.1956,42.8079,42.4868,56.846,55.0253,56.5935,43.693,44.8339,47.7678,49.9027,52.4273,54.5961,53.8338,58.7809,56.8718,58.5329
LATINAMER.&CARIB,"Bahamas,The",1.8665,1.8595,1.5594,1.8785,1.8751,1.8755,1.7825,1.7958,1.7431,1.9543,1.8356,1.7656,1.7944,1.303,1.9034,2.7347
NEAREAST,Bahrain,14.8996,15.5677,16.2285,17.2796,17.3248,17.7036,18.38,19.3154,20.0148,20.8431,22.2596,24.3237,25.4479,26.714,27.0764,27.9497
ASIA(EX.NEAREAST),Bangladesh,75.3692,76.7548,79.3703,81.4662,82.5799,85.816,91.5033,93.5362,96.6627,99.0692,103.057,107.2814,112.3159,117.299,122.0935,126.5979
LATINAMER.&CARIB,Barbados,2.7378,2.7711,2.8301,3.0833,3.1643,3.1537,3.1914,3.2036,3.2524,3.2792,3.3426,3.372,3.438,3.6543,3.658,3.5481
