continent, country_label, temperature, rainfall, population, code
1,china,12.8282105191,607.85228929,1337705000,chn
1,india,29.5645121861,1137.93614764,1205624648,ind
2,unitedstates,14.5738248358,842.208934651,309326225,usa
1,indonesia,30.0003712132,2591.1458135,240676485,idn
3,brazil,30.1224671919,1776.59564106,195210154,bra
1,pakistan,26.932903129,415.812581165,173149306,pak
4,nigeria,32.7719001115,1040.37371487,159707780,nga
1,bangladesh,29.5380258855,3082.35920427,151125475,bgd
1,japan,14.3813958111,1959.51797983,127450459,jpn
3,mexico,27.9407886507,877.14142471,117886404,mex
1,philippines,28.8722635513,2498.8149214,93444322,phl
4,ethiopia,29.3428612355,769.864414724,87095281,eth
2,germany,11.1667896784,693.443823636,81776930,deu
4,egypt,29.5822831184,34.4102192444,78075705,egy
2,turkey,16.5070894745,769.735977666,72137546,tur
1,thailand,31.0713203923,1262.3193141,66402316,tha
2,france,13.8517301358,1080.78339201,65031235,fra
2,unitedkingdom,11.0819876879,788.334233712,62747868,gbr
2,italy,13.5424229134,1165.61779428,60483385,ita
1,myanmar,27.7764765344,1759.10533894,51931231,mmr
4,southafrica,24.0838030246,701.139689839,50895698,zaf
2,spain,17.3001260532,1061.57076084,46576897,esp
3,colombia,29.3767353933,2350.6845515,46444798,col
2,ukraine,10.5271418058,486.280834797,45870700,ukr
